campaignid,opcode,status,longitude_dd,latitude_dd,observer_count,observer_length,date_time,location,site,depth_m,successful_count,successful_length,successful_habitat_forwards,successful_habitat_backwards
2024-04_Geographe_stereo-BRUVs,GB-BV-001,Fished,115.2200283,-33.48167167,Ryan Simms,Bri Beaulieu,2024-03-26T07:52:39+08:00,Geographe Bay,NA,34.9,Yes,Yes,Yes,Yes
2024-04_Geographe_stereo-BRUVs,GB-BV-002,Fished,115.4291583,-33.40347,Alex McLennan,Bri Beaulieu,2024-04-08T11:16:24+08:00,Geographe Bay,NA,26.9,Yes,Yes,Yes,Yes
2024-04_Geographe_stereo-BRUVs,GB-BV-003,Fished,115.2877473,-33.4085045,Ryan Simms,Bri Beaulieu,2024-03-26T10:50:03+08:00,Geographe Bay,NA,37.4,Yes,Yes,Yes,Yes
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Fished,115.2864067,-33.63981,Lise Fournier-Carnoy,Ryan Simms,2024-04-09T12:53:23+08:00,Geographe Bay,NA,7.6,Yes,Yes,Yes,Yes
2024-04_Geographe_stereo-BRUVs,GB-BV-005,Fished,115.1785967,-33.47694167,Alex McLennan,Ryan Simms,2024-03-27T14:21:00+08:00,Geographe Bay,NA,36.1,Yes,Yes,Yes,Yes
2024-04_Geographe_stereo-BRUVs,GB-BV-006,Fished,115.4437633,-33.35468,Alex McLennan,Bri Beaulieu,2024-04-08T11:36:54+08:00,Geographe Bay,NA,27.8,Yes,Yes,Yes,Yes
2024-04_Geographe_stereo-BRUVs,GB-BV-007,Fished,115.3787917,-33.58914667,Lise Fournier-Carnoy,Bri Beaulieu,2024-03-28T14:21:40+08:00,Geographe Bay,NA,12.4,Yes,Yes,Yes,Yes
2024-04_Geographe_stereo-BRUVs,GB-BV-008,Fished,115.2549917,-33.394755,Ryan Simms,Bri Beaulieu,2024-03-26T11:22:45+08:00,Geographe Bay,NA,39.7,Yes,Yes,Yes,Yes
2024-04_Geographe_stereo-BRUVs,GB-BV-009,Fished,115.149135,-33.57436167,Lise Fournier-Carnoy,Hannah Williams,2024-04-09T09:35:24+08:00,Geographe Bay,NA,23.9,Yes,Yes,Yes,Yes
2024-04_Geographe_stereo-BRUVs,GB-BV-010,Fished,115.4771367,-33.49934667,Lise Fournier-Carnoy,NA,2024-04-03T10:40:47+08:00,Geographe Bay,NA,13.4,Yes,No,Yes,Yes
2024-04_Geographe_stereo-BRUVs,GB-BV-011,Fished,115.2826517,-33.52875667,Daniel Agnello,Ryan Simms,2024-04-02T15:28:02+08:00,Geographe Bay,NA,27.5,Yes,Yes,Yes,Yes
2024-04_Geographe_stereo-BRUVs,GB-BV-012,Fished,115.1656117,-33.42520167,Alex McLennan,Ryan Simms,2024-03-27T10:55:21+08:00,Geographe Bay,NA,40.7,Yes,Yes,Yes,Yes
2024-04_Geographe_stereo-BRUVs,GB-BV-013,Fished,115.0585717,-33.5242,Ryan Simms,Lise Fournier-Carnoy,2024-03-27T16:32:15+08:00,Geographe Bay,NA,35.1,Yes,Yes,Yes,Yes
2024-04_Geographe_stereo-BRUVs,GB-BV-014,Fished,115.2909633,-33.389175,Ryan Simms,Bri Beaulieu,2024-03-26T10:58:02+08:00,Geographe Bay,NA,37.3,Yes,Yes,Yes,Yes
2024-04_Geographe_stereo-BRUVs,GB-BV-015,Fished,115.36056,-33.52702,Daniel Agnello,Ryan Simms,2024-03-28T08:37:12+08:00,Geographe Bay,NA,21.6,Yes,Yes,Yes,Yes
2024-04_Geographe_stereo-BRUVs,GB-BV-016,Fished,115.1201883,-33.35978167,Alex McLennan,Ryan Simms,2024-03-27T08:03:05+08:00,Geographe Bay,NA,44.1,Yes,Yes,Yes,Yes
